code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101B55387,0.14965033179456858,0.3438203037544143,0.14220741397150713,0.3595456983108027,4등급,4등급,3등급
K55101B55395,0.15025533127119922,0.34524207377964666,0.14094010338231786,0.3609656317375997,4등급,4등급,3등급
K55101B55403,0.15021707911024568,0.34488678173197884,0.14126295081844126,0.3605946894530561,4등급,4등급,3등급
K55101B55411,0.15032627994938644,0.34588759872705804,0.14093828173360384,0.36160212049858914,4등급,4등급,3등급
K55101B55429,0.15024684859320553,0.3452085098055398,0.14121001608629985,0.36093329160706145,4등급,4등급,3등급
K55101B55437,0.15031310685897464,0.34580374523625645,0.14088376006825795,0.3615291797097604,4등급,4등급,3등급
K55101B55445,0.17254110101001785,0.4257718823694807,0.12332524738922064,0.21183310379403947,4등급,4등급,3등급
K55101B55452,0.18094921055569346,0.4641408065238715,0.12396711611735832,0.2242150977040108,4등급,4등급,3등급
K55101B87968,0.08515847583504627,0.1479556770384905,0.11757021606198748,0.22608979057448964,4등급,4등급,3등급
K55101B87984,0.08526286914790478,0.14954900205291066,0.11051875742898984,0.22797928194617736,4등급,4등급,3등급
K55101BB9609,0.12345609218696307,0.2239578622895167,0.11530531099837839,0.22323321652352202,4등급,4등급,3등급
K55101BB9617,0.11628797056911523,0.22570194817018718,0.10571436569524009,0.22516014303864318,4등급,4등급,3등급
K55101BL6769,0.15024229057383198,0.34516241905437783,0.1412923637614697,0.36086928300221915,4등급,4등급,3등급
K55101BS9964,0.15020732058938338,0.34488080553617134,0.1420529909972829,0.36059801756400117,4등급,4등급,3등급
K55101BV7674,0.11827320802564502,0.22517896529404696,0.10823615828575457,0.22446385575779124,4등급,4등급,3등급
K55101BV7682,0.08522768053527607,0.1491213184098832,0.11247135943107733,0.2274305632515654,4등급,4등급,3등급
K55101BY2060,0.07985798037195938,0.2028687713725099,0.09477241290886061,0.16775822240836671,4등급,4등급,4등급
K55101BY3829,0.07888254873644468,0.19979030217537355,0.09311988156384488,0.16590078039233433,4등급,4등급,4등급
K55101BY3837,0.07841531869002095,0.19876820057070324,0.06325127588188763,0.13615720138138596,4등급,4등급,4등급
K55101BY3860,0.07845141958382908,0.19934159369618545,0.062366283609439854,0.11623812108157917,4등급,4등급,4등급
K55101BY3886,0.036255212466566766,0.05442801901831242,0.08996239857589512,0.13828322557221698,5등급,4등급,4등급
K55101BY3910,0.07843621366897756,0.19921163156460145,0.09307208926352352,0.15911494138251128,4등급,4등급,4등급
K55101BY3928,0.07841936474562386,0.1988279030692596,0.09305437426044268,0.15875785113731708,4등급,4등급,4등급
K55101BY3936,0.0784307271819409,0.1990794097105622,0.09306476991738581,0.15899421508118786,4등급,4등급,4등급
K55101BY3944,0.07841411868459318,0.1987388933289921,0.09305007057388037,0.15870567206803116,4등급,4등급,4등급
K55101BY3977,0.07840850509429187,0.1985607858436,0.09357932971235819,0.16170660684957994,4등급,4등급,4등급
K55101BY3985,0.07840422126793709,0.198583811350206,0.0930452662437601,0.15854158508108546,4등급,4등급,4등급
K55101BY3993,0.07924896688509185,0.218918789161404,0.1018421697634564,0.239673469421709,4등급,4등급,3등급
K55101BY4009,0.07928167450040058,0.2196483438155012,0.0743848398499374,0.13865260911120278,4등급,4등급,4등급
K55101BY4256,0.07928698035442647,0.21951376215453486,0.10112551098284175,0.2402894904991513,4등급,4등급,3등급
K55101BY4280,0.0793005913702689,0.2198110887563738,0.06453824576040003,0.1572354372681549,4등급,4등급,4등급
K55101BY4355,0.03223905290032419,0.05162303913719714,0.03223905290032419,0.05162303913719714,5등급,5등급,4등급
K55101C24977,0.05643034549656643,0.15329120112481476,0.07002052139003555,0.16257514480930962,4등급,4등급,4등급
K55101C24985,0.052340200512212796,0.14561867646103355,0.06760888735320003,0.1514968883316926,4등급,4등급,4등급
K55101C24993,0.05290852337075395,0.1451994758697404,0.06750355814362594,0.15107312766272557,4등급,4등급,4등급
K55101C25008,0.05154990901741167,0.1464212272008134,0.06871618927306652,0.1523018491964115,4등급,4등급,4등급
K55101C25016,0.052344026278838295,0.1456035489831176,0.06761755829834688,0.15147326157170218,4등급,4등급,4등급
K55101C25297,0.05360401022775633,0.14664731745810275,0.06769913176251602,0.1506391030499099,4등급,4등급,4등급
K55101C29489,0.05304769570596186,0.14522872725223474,0.06752976492769773,0.1509703597705714,4등급,4등급,4등급
K55101CD7600,0.15019965896015644,0.34474750238333524,0.14171063861376876,0.3604687175490679,4등급,4등급,3등급
K55101CD7618,0.15000689801546616,0.3443172511481591,0.14176287797775852,0.36003348601167473,4등급,4등급,3등급
K55101CX4322,0.08628350686944153,0.1751771250269308,0.07919904749639611,0.16460375796247342,4등급,4등급,4등급
K55101D21641,0.078408221134618,0.1985136806295425,0.061660978532177765,0.11045704543061721,4등급,4등급,4등급
K55101D21674,0.11909891487696561,0.22504706851080897,0.1368817559438048,0.215078775662809,4등급,4등급,3등급
