,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101DC5760,0.03290358626600194,0.03916988986721223,0.11864248252797985,5등급,5등급,3등급
1,K55203CE0163,0.5143355585498853,0.6132836398437995,1.7884110282151202,1등급,1등급,1등급
2,K55210BM8648,0.030026037275999454,0.05306127673396968,0.017816160882260713,5등급,4등급,5등급
3,K55210BM8655,0.027156598386056212,0.04820516085983408,0.018463134579676955,5등급,5등급,5등급
4,K55210BM8663,0.027151928746831245,0.04819638370134423,0.018463134579676955,5등급,5등급,5등급
5,K55210DN6987,0.1746256365950047,0.1746256365950047,0.499740547463317,2등급,2등급,1등급
6,K55210DN6995,0.1854879525914549,0.1854879525914549,0.5162570805625215,2등급,2등급,1등급
7,K55210DN7001,0.18842895602982404,0.18842895602982404,0.5179898809446184,2등급,2등급,1등급
8,K55210DN7027,0.18538789564212213,0.18538789564212213,0.5150692628241511,2등급,2등급,1등급
9,K55210DN7035,0.1884367002494723,0.1884367002494723,0.5175310188591041,2등급,2등급,1등급
10,K55210DN7068,0.18535603744850826,0.18535603744850826,0.5150162455831232,2등급,2등급,1등급
11,K55210DN7076,0.18757179672186622,0.18757179672186622,0.5093711037040548,2등급,2등급,1등급
12,K55210DN7084,0.1853946365093509,0.1853946365093509,0.5151489185040042,2등급,2등급,1등급
13,K55210DN7092,0.18876011783001798,0.18876011783001798,0.5180287441448354,2등급,2등급,1등급
14,K55210DN7100,0.17469042533322002,0.17469042533322002,0.5004568554103559,2등급,2등급,1등급
15,K55210DN7126,0.17947131760414572,0.17947131760414572,0.5044839526301881,2등급,2등급,1등급
16,K55210DN7134,0.1839861533121419,0.1839861533121419,0.5101563863769891,2등급,2등급,1등급
17,K55210DN7142,0.1827980821248565,0.1827980821248565,0.5118650737423008,2등급,2등급,1등급
18,K55223CJ6351,0.023829920082230154,0.021634133597647657,0.08360114112823952,5등급,5등급,4등급
19,K55223CJ6369,0.023818657449730576,0.021628693638968292,0.08476368482695956,5등급,5등급,4등급
20,K55223CJ6377,0.023819659890350935,0.021629784366333053,0.08544814870590925,5등급,5등급,4등급
21,K55223CJ6385,0.023826832931289673,0.021632381232884648,0.08426501865163366,5등급,5등급,4등급
22,K55223CS0338,0.3935073394024476,0.7101440632461039,0.10730667308189393,1등급,1등급,3등급
