,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101BV9704,0.04053296080802957,0.04037933744056354,0.09130281196404286,5등급,5등급,4등급
1,K55101BV9712,0.031730521874275205,0.04036375819456713,0.07891806843811713,5등급,5등급,4등급
2,K55102DK7773,0.023808181762384376,0.02936238895118423,0.04570358533038414,5등급,5등급,5등급
3,K55102DK7781,0.024414378591878793,0.02989621338579894,0.046647098042611156,5등급,5등급,5등급
4,K55102DK7799,0.024237097391051534,0.029893236666945475,0.0463749626022894,5등급,5등급,5등급
5,K55102DK7807,0.024489804236319124,0.029991033462885033,0.04761863374365679,5등급,5등급,5등급
6,K55102DK7815,0.0242487231729731,0.0299075978844498,0.04667839824293591,5등급,5등급,5등급
7,K55102DK7823,0.02417705079173452,0.029821240892481435,0.04654337088352945,5등급,5등급,5등급
8,K55102DK7849,0.01988287832305433,0.02519472286106394,0.04615819721416703,5등급,5등급,5등급
9,K55102DK7856,0.024954013206391578,0.02989012548314168,0.046479518195908065,5등급,5등급,5등급
10,K55102DK7864,0.024411662651250426,0.029891906435798494,0.04629050138835126,5등급,5등급,5등급
11,K55104B00957,0.022902328670561852,0.02144391805842516,0.050979607658507786,5등급,5등급,4등급
12,K55104BB8491,0.02591821641099853,0.019824694003747544,0.06482874481883542,5등급,5등급,4등급
13,K55104BD1221,0.021560512525520947,0.018904048251404654,0.05253396231173341,5등급,5등급,4등급
14,K55104BE9116,0.026132120442435368,0.019837255674730315,0.05286122242152476,5등급,5등급,4등급
15,K55104BT7949,0.023912322721032206,0.021423396302065238,0.05844935113288827,5등급,5등급,4등급
16,K55104BT9721,0.023042225137883468,0.021424594917881557,0.05055961255961586,5등급,5등급,4등급
17,K55104C95104,0.026414845390465843,0.019837292827477947,0.05223940375201936,5등급,5등급,4등급
18,K55104C95112,0.02406886787912002,0.019833641087030666,0.05246229957401531,5등급,5등급,4등급
19,K55104CC7376,0.020517833698485005,0.018916240415979092,0.03570518194160162,5등급,5등급,5등급
20,K55104CC7384,0.020970571731975717,0.01891224680503802,0.04467283647589921,5등급,5등급,5등급
21,K55104CC7400,0.020666845874053985,0.018919654800851934,0.0412699621535464,5등급,5등급,5등급
22,K55104CC7418,0.020453781345268835,0.018911768081616154,0.03562931581143565,5등급,5등급,5등급
23,K55104CC7459,0.020359582818787574,0.0176846717107723,0.047078850102718305,5등급,5등급,5등급
24,K55104CC7509,0.020445903265670858,0.018916799934706786,0.03551451673978967,5등급,5등급,5등급
25,K55104CC7517,0.016656390098058627,0.018914202526081503,0.030874487275102953,5등급,5등급,5등급
26,K55104CK0991,0.01642380454299682,0.02143161736515001,0.033008689745234444,5등급,5등급,5등급
27,K55104DI1299,0.046532564537626483,0.02950982662729888,0.06880930243413097,5등급,5등급,4등급
28,K55104DI1307,0.045777022745076605,0.027531514350241457,0.05703025283416895,5등급,5등급,4등급
29,K55104DI1315,0.04581825766614963,0.02762828654509796,0.05666214747872594,5등급,5등급,4등급
30,K55104DI1323,0.045807987361734005,0.027554772912230453,0.05762385875518537,5등급,5등급,4등급
31,K55104DI1331,0.04577993537302118,0.027530339502027434,0.057023294594063474,5등급,5등급,4등급
32,K55104DI1349,0.045921123136863744,0.027917380070360855,0.05629847441673131,5등급,5등급,4등급
33,K55104DI1356,0.045783517468125395,0.02753544833320295,0.05710397986670383,5등급,5등급,4등급
34,K55104DI1372,0.04578234350064802,0.027535868884235908,0.057184125521070314,5등급,5등급,4등급
35,K55104DI1380,0.045824061391275886,0.027656333049451844,0.05659707348024731,5등급,5등급,4등급
36,K55104DN7737,0.02942522604397973,0.02942522604397973,0.02288124218815272,5등급,5등급,5등급
37,K55104DN7745,0.02942707616525785,0.02942707616525785,0.023889843555523777,5등급,5등급,5등급
38,K55104DN7752,0.02942417489783239,0.02942417489783239,0.023794894208542545,5등급,5등급,5등급
39,K55104DN7760,0.02943756259936901,0.02943756259936901,0.02496162725821327,5등급,5등급,5등급
40,K55104DN7778,0.029426894069060683,0.029426894069060683,0.024410392365077166,5등급,5등급,5등급
41,K55104DN7786,0.029422363246431514,0.029422363246431514,0.023716931064621683,5등급,5등급,5등급
42,K55104DN7810,0.029433049528192614,0.029433049528192614,0.02456542764405774,5등급,5등급,5등급
43,K55107B08185,0.023077678933464785,0.016985570865982645,0.0448503744740724,5등급,5등급,5등급
44,K55107BU0187,0.018209207845814243,0.02241436105125726,0.016710247354626197,5등급,5등급,5등급
45,K55107BU0195,0.015927151893825226,0.019092256264259734,0.016778282049959327,5등급,5등급,5등급
46,K55107BU7828,0.05253630112913056,0.07079439685930615,0.1332915349289137,4등급,4등급,3등급
47,K55107DJ5130,0.01837980902193821,0.021798137455103898,0.034674190021213885,5등급,5등급,5등급
48,K55107DJ5148,0.017142181534104337,0.01995190432754223,0.029516883170271332,5등급,5등급,5등급
49,K55107DJ5155,0.017334790161231153,0.020186094240611335,0.03214433703697698,5등급,5등급,5등급
50,K55107DJ5171,0.01679954190534935,0.019534322846944473,0.03007046155267196,5등급,5등급,5등급
51,K55107DJ5189,0.01698691140696089,0.01976240075675088,0.029600917265317054,5등급,5등급,5등급
52,K55107DJ5205,0.017211054281218382,0.020358677278814123,0.033443764371239255,5등급,5등급,5등급
53,K55107DL1937,0.10970216987338377,0.11942775026219639,0.30002510243894376,3등급,3등급,1등급
54,K55107DL2000,0.10978942356549354,0.11953194953477317,0.30123893569360133,3등급,3등급,1등급
55,K55107DR2749,0.010224910601744231,0.010224910601744231,0.011396683339515828,5등급,5등급,5등급
56,K55203B30475,0.024369161290782735,0.020619613624877926,0.04594938865188021,5등급,5등급,5등급
57,K55203B30483,0.021612494833227094,0.01899163287789528,0.04524822686055316,5등급,5등급,5등급
58,K55203B30491,0.02127780583950331,0.018983252882551805,0.038228905843961686,5등급,5등급,5등급
59,K55203BB7188,0.058996176101553076,0.01900069883575341,0.11780057545555425,4등급,5등급,3등급
60,K55203BB7204,0.05868181729023122,0.01900841697991158,0.11825477772947633,4등급,5등급,3등급
61,K55203BB7287,0.05867473578806673,0.019006177134962467,0.11812136891526887,4등급,5등급,3등급
62,K55203BB7303,0.05868752374880415,0.0190063152757572,0.11803780251936222,4등급,5등급,3등급
63,K55203BB7311,0.0609979054396474,0.01899080627206492,0.13603597293883762,4등급,5등급,3등급
64,K55203C23478,0.02291102674103343,0.0191269255119878,0.046294816391747776,5등급,5등급,5등급
65,K55203CT8615,0.08635526036472717,0.09565199316017173,0.20160021483356616,4등급,4등급,2등급
66,K55203CT8623,0.025417377716273483,0.019001401887688247,0.04552932367518534,5등급,5등급,5등급
67,K55203CT8631,0.02071870593916046,0.019000985791569412,0.044815210570574776,5등급,5등급,5등급
68,K55203D10341,0.021026294735516825,0.019013374206186866,0.04541543429994041,5등급,5등급,5등급
