code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101D21336,0.17160226860517908,0.09786071601297743,0.17160226860517908,0.09786071601297743,4등급,4등급,4등급
K55101DN0982,0.08329596026338432,0.1807903673921318,0.07429787788432521,0.1684767428748048,4등급,4등급,4등급
K55102BJ9543,0.13486423075140114,0.32808831272227595,0.1505105182957403,0.32159983357461236,4등급,4등급,3등급
K55102C60433,0.16348819591280578,0.4363080310223856,0.18390543512320595,0.3383224524210039,4등급,4등급,3등급
K55102C60441,0.16342860008513788,0.4392351782112097,0.18414759680384346,0.340434696726863,4등급,4등급,3등급
K55102C60458,0.16335028465307402,0.43850020627556524,0.18406245098911553,0.3399854388080242,4등급,4등급,3등급
K55102C60466,0.16351521001507768,0.4401199365782971,0.18423795916315916,0.34106717675253195,4등급,4등급,3등급
K55102C60474,0.1634011994874245,0.43901002933396244,0.1841006760199224,0.34026173460994324,4등급,4등급,3등급
K55102C60482,0.16335885475551104,0.43871632127350324,0.18408705313376922,0.34007281960866387,4등급,4등급,3등급
K55102C60490,0.08384041147122012,0.17068436645857937,0.11959602639846288,0.28978661960641666,4등급,4등급,3등급
K55102C60508,0.16334274481229505,0.4384092389054742,0.18402592816473545,0.3398558956394499,4등급,4등급,3등급
K55102C74251,0.14027795554118308,0.30524304108606004,0.18514508514232034,0.3084479609680389,4등급,4등급,3등급
K55102C79946,0.1614199555978485,0.31577596887966797,0.23324180832416297,0.42326528509361766,4등급,3등급,2등급
K55102C79953,0.16164618745789608,0.3172965202321324,0.23348436522959237,0.4248689376572597,4등급,3등급,2등급
K55102C79961,0.16160539464325135,0.3169539507397048,0.2334292379305995,0.42447955513782853,4등급,3등급,2등급
K55102C79979,0.16180507287953452,0.3183516140692913,0.23363242514318433,0.4258190985258326,4등급,3등급,2등급
K55102C79987,0.16166934742530387,0.31753739005748277,0.23348923485153764,0.4249303058823242,4등급,3등급,2등급
K55102C79995,0.16156747073080727,0.31671707210217853,0.23338880848184473,0.4241871269381314,4등급,3등급,2등급
K55102C80001,0.16167709084020057,0.31752068920613397,0.233504692785509,0.42501134809931845,4등급,3등급,2등급
K55102C80019,0.16165985620588533,0.317360747997924,0.23412405130203107,0.4249081196954854,4등급,3등급,2등급
K55102C80027,0.1616220884845373,0.31714119383362005,0.23348128357123657,0.4246299401311343,4등급,3등급,2등급
K55102C80035,0.13406638733685247,0.28781213951721274,0.2141081228563809,0.3917342989971563,4등급,3등급,3등급
K55102C80050,0.16160884310094192,0.3170441969839067,0.23343886337706188,0.42455720990695156,4등급,3등급,2등급
K55102C80068,0.13708119566602261,0.3181787979929579,0.13708119566602261,0.3181787979929579,4등급,4등급,3등급
K55102C90653,0.16330682731398707,0.4379380086075683,0.1441775946558066,0.31182261323493576,4등급,4등급,3등급
K55104BU4265,0.12486764845793932,0.33116279268360965,0.1514635590258046,0.33538077228923485,4등급,4등급,3등급
K55104BU4299,0.09969918085485058,0.11343507208045696,0.133711236228822,0.12591719309579089,4등급,4등급,4등급
K55104C57153,0.10971142753338317,0.14912966023198826,0.35379817275845676,0.5679932665229673,4등급,3등급,2등급
K55104C57161,0.10974259853246983,0.15069938656969953,0.35458559194422584,0.5703411676987532,4등급,3등급,2등급
K55104C57179,0.10970962909787978,0.1502558420661537,0.3543688244664429,0.5697471417127002,4등급,3등급,2등급
K55104C57195,0.10977900099791488,0.15131178537991136,0.35489712482648916,0.57115674023829,4등급,3등급,2등급
K55104C57203,0.10970534945288177,0.15052178175097872,0.3545143424095428,0.5701827421091465,4등급,3등급,2등급
K55104C57211,0.10973540720514939,0.14998789758253817,0.35423349200009013,0.5692496463909652,4등급,3등급,2등급
K55104C57294,0.10971465375464404,0.1501936519586806,0.401046032865811,0.5694648879654103,4등급,2등급,2등급
